number of words;1653

number of 2-syll words;1165
number of correct 2-syll words;412
prop correct 2-syll;0.3536480686695279

number of Oo pattern words;954
number of correct Oo pattern words;245
prop correct Oo;0.25681341719077566

number of oO pattern words;211
number of correct oO pattern words;167
prop corect oO;0.7914691943127962

number of 3-syll words;374
number of correct 3-syll words;100
prop correct 3-syll;0.26737967914438504

number of Ooo pattern words;114
number of correct Ooo pattern words;18
prop correct Ooo;0.15789473684210525

number of oOo pattern words;248
number of correct oOo pattern words;78
prop correct oOo;0.31451612903225806

number of ooO pattern words;12
number of correct ooO pattern words;4
prop correct ooO;0.3333333333333333

number of 4-syll words;114
number of correct 4-syll words;16
prop correct 4-syll;0.14035087719298245

number of Oooo pattern words;16
number of correct Oooo pattern words;4
prop correct Oooo;0.25

number of oOoo pattern words;78
number of correct oOoo pattern words;11
prop correct oOoo;0.14102564102564102

number of ooOo pattern words;20
number of correct ooOo pattern words;1
prop correct ooOo;0.05

